,adId,url,address,province,latitude,longitude,rent,utilities,description,Furnished,Bathrooms,Bedrooms,For Rent By,Pet Friendly,Water,Heat,Hydro,Agreement Type,Parking Included,Accessible Washrooms in Suite,Audio Prompts,Braille Labels,Elevator in Building,Storage Space,Internet,Cable / TV,Visual Aids,Barrier-free Entrances and Ramps,Bicycle Parking,24 Hour Security,Concierge,Pool,Gym,Smoking Permitted,Balcony,Yard,Air Conditioning,Fridge / Freezer,Dishwasher,Laundry (In Building),Laundry (In Unit),Wheelchair accessible,building_access,laundry,Unit Type,Move-In Date,Size (sqft),Virtual Options,Term Agreement
0,1516985400.0,https://www.kijiji.ca/v-short-term-rental/ottawa/available-now-furnished-studio-with-garage-parking-all-inclusive/1516985400,"475 Laurier Ave W, Ottawa, ON K1R 7X1, Canada",ontario,45.416494,-75.7046484,1750.0,,"Exceptional ground-floor studio offers the perfect combination of convenience and practical living. Working from home will be a pleasure as the unit is retrofitted with custom-designed furniture to allow easy transformation between living and working environments. Located just steps away from the heart of Ottawa's downtown and business district, a variety of restaurants and entertainment venues are just a stone's throw away. Available for both short (3-month minimum) and long term stays, this unit will suit the needs of professionals and students alike. Please kindly reply with name and phone number if interested.


Unit Highlights:

•	Large underground parking spot included

•	Utilities (water, heat and hydro) included

•	High-speed internet included

•	Ample storage (closets, shelving, drawers)

•	High 10 foot ceilings

•	Constant fresh air intake

•	Ground-floor apartment makes social distancing easier

•	Large windows

•	Wood flooring

•	Quiet


Building Highlights:

•	Steps to Lyon O-Train LRT Station

•	Highly secure key-fob building access with security cameras

•	Smart card laundry facilities	on-site

•	Gym facilities

•	Underground secured bike storage

•	Non smoking building


87 Walk Score - Very Walkable - Most errands can be accomplished on foot.

100 Transit Score - Rider’s Paradise - World-class public transportation.

98 Bike Score - Biker’s Paradise",Yes,1,Bachelor/Studio,Owner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1516981345.0,https://www.kijiji.ca/v-short-term-rental/ottawa/immed-aug31-bank-walkley-15min-carleton-newer-home-furn-seevideo/1516981345,", Ottawa K1V 6V3 ON, Canada",ontario,45.3684252,-75.6603717,450.0,,"* this room is available Immediate until August 31st only for $450 firm. Available September 1st for 1 year lease for $475 per month**


Newer home with custom kitchen, hardwood floors and ceramic tile throughout! 2.5 baths, large backyard deck!


Only 15 minutes to Carleton University (bus/O train), 10 min walk to Grocery store! Walmart, Loblaw’s, bank, bus stop, restaurants, minutes from home.


A comfortable main floor room,fully furnished with double bed,desk,chair,and Ikea dresser. Nightstand, light and fan included as well.


Available Immediate until August 31st for $450 or September 1st for 1 year lease $475 per month


Rent includes: Wifi with unlimited downloads, utilities (heat,hydro,water) laundry, A/C. Parking is extra if needed, $65 per month.


Non smoking, no parties, no loud music,no drugs , no marijuana and pet free home!


Share only with 4 males.They are mature, respectful and quiet. Ages 20-24, going to Carleton University, 2nd, 3rd and 4th year.


Take a 1 min to watch video of the room

https://www.youtube.com/watch?v=Lht2zBRufAI


Take 3 minutes to watch a video of the home.

https://www.youtube.com/watch?v=YR0veVRwJ0Y


For more information, Text,call or email anytime 24/7, please include more details about yourself. 613-917-9754


Look forward in hearing from you! Stay safe!

Thanks!",Yes,2.5,1,Owner,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1505746046.0,https://www.kijiji.ca/v-short-term-rental/ottawa/executive-furnished-1-bd-available-now/1505746046,"126 Sparks St, Ottawa, ON, K1B 5B6",ontario,45.4223331,-75.69837179999999,2450.0,,"<br />*minimum 3 month term<br />* $2450<br />* Stylish, designer furnishings, fully equipped, stainless steel modern kitchens, TV & Home Theatre System, in-suite laundry<br />* Private terraces with patio furniture overlooking Sparks Street<br />* Indoor parking & bicycle storage<br />* 24 Hr security patrol<br />* All utilities included<br />* Free unlimited Wi-Fi<br />* Premium coffee on-site<br />Numerous amenities right outside your door including fine dining, pubs, cafes, pharmacy, and banks. Business district, Byward Market, Rideau Canal and other major city points are all just minutes away.",Yes,1,1,Professional,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1516934305.0,https://www.kijiji.ca/v-short-term-rental/ottawa/bedroom-available-for-sublet-sandy-hill-uottawa/1516934305,"124 Goulburn Avenue, K1N 8E1, Ottawa, ON",ontario,45.4251356,-75.67406509999999,850.0,,"- Room available for sublet in a 2 bedroom apartment

- Sublet: Oct to Dec 2020

- PRICE IS NEGOTIABLE

- Located close to Uottawa/downtown/byward and all amenities within walking distance

- Room fully furnished

- Laundry is available in the unit and is included in the rent

- 1 shared bathroom

- 1 shared kitchen with all appliances

- Large common area

- Parking available if needed

- Hydro (average $18 per month & internet (fixed: $14/month) is extra

- Possibility of sublet starting in September


Call/text: 613-791-7302",Yes,1,1,Owner,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1516912537.0,https://www.kijiji.ca/v-short-term-rental/ottawa/house-for-rent/1516912537,"K2C3T6, Canada",ontario,45.37066739999999,-75.7143603,,,"This property is in the Prince of Wales and Meadowlands area (Normandy Cres). It has 4 bedrooms, a kitchen, furnished living room, a basement with a washer and drier and a very big backyard with a big deck. There is one garage parking spot and a drive way big enough to park 3-4 vehicles. This property is located in the middle of town, 10 minute drive downtown, 15 min to Kanata, Orleans and Barrhaven. It is also a 15 min walk to Carleton University. 15 min bus ride to Algonquin College as well as University of Ottawa. Also a 5 minute walk to Mooneys Bay Beach, Hogs Back Park and the Rideau Canal.

This is a prime location for students! Move in date of September 1st but are willing to accommodate last week and a half of august RENT FREE!

For any inquiries please don’t hesitate to contact: Hotch @ (613) 796-5836 or preferably Email:
Hagji3_tai@rogers.com",No,1.5,4,Owner,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1516908288.0,https://www.kijiji.ca/v-short-term-rental/ottawa/beautiful-1-bedroom-condo-den-parking/1516908288,"354 Gladstone Ave, Ottawa, ON K2P 0Y8, Canada",ontario,45.4121409,-75.6933241,2100.0,,"1 Bedroom + Den Condo Downtown Ottawa with Parking


Available OCTOBER 1st


Unit can be rented furnished or unfurnished. It is available October 1st for 5 months until March 1st however I am willing to rent for a longer period.


Lease term can be negotiated but minimum of 5 months.


The unit has a great view and the den could be used as a second bedroom if needed. Washer and Dryer are in the unit and included is an underground Parking Spot


All utilities are included and unlimited internet !!!


Please no pets or smokers.


Please let me know if you have any questions.


Thanks",Yes,1,1 + Den,Owner,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1516855639.0,https://www.kijiji.ca/v-short-term-rental/ottawa/alpine-chalet-in-calabogie-ski-peak-village-by-calabogie-lake/1516855639,"133 Viewmount Dr, Calabogie, ON K0J 1H0, Canada",ontario,45.279559,-76.782399,,,"Bring your laptop to work from home while enjoying the get-away from the city.

A fully-furnished alpine chalet in Calabogie peak village by Calabogie Lake is looking for short-term rental (1 month minimum).

1-hr west of Ottawa, our Alpine Chalet is a four-season vacation home sitting on a 1-acre treed lot with a panoramic view of the Calabogie Peak Ski hill. The boat launch dock on Calabogie Lake shared by our community is 600 meters away.

Nested in a recreational area with close proximity to various activities, our chalet offers modern conveniences. The 1,750 sqf living space includes a well-equipped kitchen with open-concept living room and dinning room centered by a wood-burning fire place, and a sun-soaked extra-wide deck off the 2nd floor. Water-purification system, on-site laundry, dish washer, BBQ, outdoor fire-pit are also provided.

Well-behaved dogs are welcome.

Things you can do (distance from our property):

•	Calabogie Peaks Alpine ski (950 meters)

•	Calabogie lake, Boating, fishing and winter ice fishing (600 meters to the boat launch point)

•	Madawaska Nordic Ski and Recreational Trail Network (200 meters)

•	Eagles nest lookout 2.8 km

•	Motor sport park (5.05 km) race circuit and racing car rental (11.8 km)

•	Golf: Calabogie Highlands Resort & Golf Club (14.5 km) and Ironwoods golf course (~800 meters)",Yes,2,3,Owner,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1516847656.0,https://www.kijiji.ca/v-short-term-rental/ottawa/room4rent/1516847656,", Ottawa  K1k1p3  ON, Canada",ontario,45.4273321,-75.65383299999999,600.0,,Beautiful Room is available for you call For more information,Yes,1,3,Owner,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1516840578.0,https://www.kijiji.ca/v-short-term-rental/ottawa/cottage-rental-between-sept-13-17-only-on-patterson-lake/1516840578,", K0G 1K0, Patterson Lake, ON",ontario,45.006152,-76.52747630000002,225.0,,"Rest and relax on beautiful Patterson Lake in the Lanark Highlands situated 1 hour west of Ottawa.


Beautiful cottage situated on over 8 acres of woodland which is very private and suitable for family time away from city life. Very good swimming and fishing, cottage has a paddle boat and canoe.


Cottage can accommodate up to a maximum of 8 people with a maximum of 6 adults. There are 2 queen size beds, 1 double bed with a bunk bed in a screened in porch for children.


Well behaved pets welcome!


PRESENTLY ONLY WEEKDAY AVAILABILITY BETWEEN SEPTEMBER 13 TO 16


MINIMUM STAY OF 3 NIGHTS


Nightly rate is $225.00


Refundable damage deposit of $275.00 applies to all rentals.


Rental subject to Covid 19 restrictions.",Yes,1,4,Owner,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1516839100.0,https://www.kijiji.ca/v-short-term-rental/ottawa/one-large-furnished-basement-bedroom/1516839100,"Tim Sheehan Pl, Ottawa, ON K2V 0N1, Canada",ontario,45.26757,-75.882416,990.0,,"One large furnished basement bedroom in a brand new townhome
Close to all amenities and high tech companies
Only for for one occupant
All inclusive and sheared entrance
Full 3 pieces bathroom
Private kitchen
Private laundry room with washer and dryer
Dining area
WiFi included
AVAILABLE IF AD IS UP
One large furnished basement bedroom",Yes,1,1,Owner,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
