,adId,address,province,latitude,longitude,rent,utilities,description,Furnished,Bathrooms,Bedrooms,For Rent By,Pet Friendly,laundry,elevator,parking,balcony,storage,dishwasher,wheelchair_accessibility,building_access
0,1513779988,"K1N5R1, Canada",ontario,45.4306706,-75.6887867,1850.0,True,"Rare apartment! Available now! All utilities included = hydro, heat, electricity, water, fast wi-fi, new AC unit, value of 300$ monthly. Charming features: hardwood floors throughout, claw bathtub, open space loft feel, gas stove etc. HUGE private patio overlooking the Byward Market. Steps to everything: Parliament, Rideau Center etc. ****patio is only for this apartment- no other tenants will be using it. Month to Month lease with 60 days notice or earlier if new tenant is found earlier!",No,1,1,Owner,,,,,,,,,
1,1513779477,"K1N5R1, Canada",ontario,45.4306706,-75.6887867,1650.0,True,"Beautiful 1 bedroom in the Byward Market - all utilities included worth 300$ monthly = no surprises at the end of the month! Charming features! Full shower and bath ! Hardwood floors throughout! New AC unit! Heat hydro electricity water, wi-fi included. Available now! Month to Month lease with 60 days notice.",No,1,1,Owner,,,,,,,,,
2,1513776376,"199 Slater St., Ottawa, ON K1P 0A6, Canada",ontario,45.4199156,-75.69896609999999,2500.0,False,"Address: 199 Slater Street, on Slater, between Bank and O’Conner


Location:

•	5-minutes walk from Parliament Hill

•	2-minutes walk from EDC and World Exchange Plaza

•	Walk or LRT (if you woke up late) to U-Ottawa or any other stations

•	Walking (or parachuting) distance to many government office buildings

•	Heart of downtown near parks, canals, bike paths, festivals, shops and restaurants


Executive Unit:

•	Located on one of the top floors (20th)

•	One of the most spacious floor plans (1 Bed + Den with full-size living room, dining room and kitchen)

•	9-ft Ceiling with Window Walls throughout

•	South facing, plenty of sunlight, a combination of city and garden view from up on the cloud

•	A Balcony you can barbecue, have a coffee or sun tan

•	Gleaming Hardwood

•	Granite Countertops

•	All Appliances upgraded: Washer, Dryer, Fridge, Stove, Fan, Oven, Microwave

•	Central Air Conditioning and Heating, smart thermostat

•	Fully Furnished: Queen Size bed and bedding, couch, dining table set, Smart TV, desk and an extra double closet for additional storage space

•	Move in ready and worry free


Amazing Amenities (some are temporarily closed but let’s hope for a vaccine):

•	Concierge Monday to Friday

•	A good-sized gym to allow social distancing, multiple cardio machines and weights

•	Movie Theatre

•	Hot Tub on Gym Terrace

•	Pool Table

•	Party Room Rental

•	Bike Room

•	Garbage chute and recycling room on P1 (we have green bin!)


Rent Includes:

•	Parking 1-level above ground, one of the closest spots, heated parking that melts ice

•	The largest storage room in the building, 15 steps from your parking spot (no more long walks!)

•	Water and Heating

•	Hydro and Internet can be included for extra


Conditions:

•	Three-month minimum

•	No sub-leasing or short-term rental

•	Pet Friendly

•	If you don’t need parking price can DEFINITELY be reduced

•	If you are renting for one year or more price may also be reduced

•	This is a no-smoking building


Please text (preferred) or call 613-255-5875. Thank you for reading this!",Yes,1,1 + Den,Owner,Yes,,,,,,,,
3,1513775925,"130 Rochester St, Ottawa, ON K1R 0A3, Canada",ontario,45.408783,-75.71198,1650.0,False,"Stunning 1 bedroom fully furnished condo for rent. Short term rental. $1650/month + wifi + utilities. 1 heated underground parking spot. Looking to rent it month to month. Comes fully furnished with 80"" TV, super comfortable luxury couch, lift top coffee table, table & chairs, fully stocked kitchen, new Queen size heavenly bed. Condo has loads of natural light and vaulted ceilings in living/dining/kitchen areas. South facing patio. Private entrance. Unlimited internet is $50/month and already set up. Basic air cable for TV. In unit washer & dryer

I store my belongings upstairs in the loft and live elsewhere. Great value.",Yes,1,1 + Den,Owner,No,,,,,,,,
4,1513749787,", Ottawa K1V 9P9 ON, Canada",ontario,45.3556231,-75.6463624,500.0,True,"A BRAND NEW LISTING! Room is available Immediate until August 31st only.


--If you see this ad, watch video and fill out survey below!


//This newly renovated 4 bedroom custom home in a quiet and established neighbourhood


**Home is located Near Bank/Hunt Club (K1V 9P9), 15 min to Carleton University (bus/o train)


//A grocery store right across the street! 10 min walk to Wal-Mart, Loblaw’s,restaurants, Starbucks, Tim’s, and McDonald’s.


--This home features a new Ikea kitchen, with 2 fridges, 2.5 baths, and Hardwood floors throughout.


***Upgraded baths, carpet, paint. Its like a new home!


///A large 12X13 2nd floor rooms furnished with double bed, desk, chair, nightstand, and new Ikea Dresser.

Share home with 3 males (ages 20,21,23) Both going to Carleton University. They are mature, quiet and respectful.


Completely non-smoking home with no pets, no parties, no drugs and no loud music.

Rent includes: All utilities (heat, hydro, water), on site laundry, Fast high speed Internet with unlimited downloads, furnishings. Parking: If needed, extra monthly fee


Take a video tour. Watch videos below!


Video of 12X13 room: (1 min)

https://www.youtube.com/watch?v=ycF2xs1KdDQ


Video of Home (2 min)

https://www.youtube.com/watch?v=YyeFuF_h3OQ&t=6s


Room is available Immediate until August 31st only.


Interested? Tell me more about yourself by answering my 5 minute questionnaire: www.OttawaRoomSurvey.ca


More questions or would like a showing?


For fast response, Text ad id “34NEW” to 613-916-6959 Look forward to hearing from you!

Have A great day!",Yes,1,1,Owner,No,,,,,,,,
5,1513736792,"179 George St, Ottawa, ON K1N 1J8, Canada",ontario,45.4290087,-75.6878022,2100.0,True,"Located right in Downtown Ottawa beside the Rideau Centre and minutes from Parliament Hill.


The unit comes entirely furnished with a Queen sized bed, a couch, mounted Smart TV and a fully stocked kitchen. There is also an outdoor balcony with patio furniture, and all monthly utilities (water, hydro, internet) are included in the cost!


The building's amenities include a gym, party room with a pool table and foosball as well as an outdoor patio with barbeques.


There is a grocery store in the mall right across the street, and an LCBO in front of the building for maximum convenience. There are several amazing restaurants and coffee shops in the neighbourhood as well. You are located right in the Byward Market! One of Ottawa's most popular neighbourhoods.


This unit is perfect for young professionals, students, or anyone looking to enjoy an extended stay in Ottawa's capital.


Only looking for short term rentals with a minimum of a 4-month rental available immediately. Please contact me with any further questions.",Yes,1,1,Owner,Yes,,,,,,,,
6,1513707823,", Ottawa K1N 7X5 ON, Canada",ontario,45.4207222,-75.6748886,60.0,True,"**Furnished ROOM - Conveniently located - All inclusive - Free WiFi**


A fantastic, spacious, and private room (the room with two beds in the photo, but not shared) for rent with access to a shared kitchen and bathroom with only one person.


- Great value ! Only 60 $ per night (minimum of 3 nights, single occupancy, all utilities and WiFi included). Weekly, monthly rates available!

- Excellent location! In Sandy Hill within walking distance to downtown Ottawa and the University of Ottawa

- Bus stop, restaurants, stores are only a couple minutes walk away

- Perfect for students, professionals, and more!

- For quicker responses, please include a short self-introduction with the date you would like to move-in, thank you.",Yes,1,,Owner,,,,,,,,,
7,1513681686,"1375 Prince of Wales Dr, Ottawa, ON K2C 3L5, Canada",ontario,45.3709943,-75.70209009999999,590.0,True,"Bedroom space available in 1 BHK. All utilities included and fully furnished. (Just closet space needs to be shared).

Females ONLY - International students strongly preferred.

Lease - Sept 2020 - Dec 2020 (with a possibility of extension)

Near Carleton University and all amenities such as Farmer's Pick, Shoppers and take out places such as Tim Hortons and McDonald's within walking distance.

Rent negotiable!",Yes,1,1,Owner,No,,,,,,,,
8,1513670911,"K2P2G4, Canada",ontario,45.4175326,-75.6892663,1400.0,False,"I am so in love with this apartment and due to unfortunate circumstances have to move out for the foreseeable future.

Located in the Golden Triangle steps from the fantastic walking and biking paths along the canal. Personal built in air conditioner (amazing), new dishwasher, microwave, good sized bedroom, super long balcony, large front hall closet/linen closet, corner unit. 5th floor. New window and sliding door are extremely soundproof. Curtains included in living room. Possibility of keeping my WIFI ($50 plus tax unlimited)

Available as of August 1st... open to different length of stay so let me know what you are interested in/how long you would like to stay. Preference will go to those who would like it partially furnished (king size bed, 2 dressers, tv stand and 2 shelves, possibly couch, open to discussing!!",Yes,1,1,Owner,No,,,,,,,,
9,1513669846,"Goulburn Ave, Ottawa, ON K1N 8C7, Canada",ontario,45.4277397,-75.6759411,650.0,True,"Availability: IMMEDIATELY until beginning of SEPTEMBER 1 ( flexible)

( still available as of July 22)


Large 1 bedroom in a 3 bedroom main floor apartment ( other rooms may be available as well)

- all utilities and wifi included in one price ( reduced rate for summer)

- this building in located on Goulbourn Ave. in a nice quiet part of Sandy Hill

- this building is quiet, non-smoking and secure

- within 15 minutes of top places to see in Ottawa : UOttawa, Parliament Buildings, Rideau Center, Byward Market and also within 5 minute walk of a major grocery store

- 2 OC Transpo bus stops within a block of stepping out of the building

- walk-in pantry and walk-out patio to enjoy mature shade trees after a long day !


Ideal for female student or young professional.


Serious inquiries only please

Great location, great all inclusive price for peace of mind.


Thanks for reading.",Yes,1,1,Owner,No,,,,,,,,
