,adId,url,address,province,latitude,longitude,rent,utilities,description,Furnished,Bathrooms,Bedrooms,For Rent By,Pet Friendly,Water,Heat,Hydro,Agreement Type,Parking Included,Accessible Washrooms in Suite,Audio Prompts,Braille Labels,Elevator in Building,Storage Space,Internet,Cable / TV,Visual Aids,Barrier-free Entrances and Ramps,Bicycle Parking,24 Hour Security,Concierge,Pool,Gym,Smoking Permitted,Balcony,Yard,Air Conditioning,Fridge / Freezer,Dishwasher,Laundry (In Building),Laundry (In Unit),Wheelchair accessible,building_access,laundry,Unit Type,Move-In Date,Size (sqft),Virtual Options,Term Agreement
0,1520894318.0,https://www.kijiji.ca/v-short-term-rental/ottawa/sep1-furnished-private-room-downtown-uottawa-market/1520894318,"Guigues ave & Cumberland st , Canada",ontario,45.4325138,-75.6911772,495.0,,"‪We are students at uOtrawa looking for a roommate in a ...‬
Bright , super large private 1 bedroom in a 4 bedrooms apt will be available Sep 1st.
*****For 8 months lease only
***one Block away from 24 Hours Loblaws for Groceries.
***Only students with the proof of registration and reference.

*** rooms $495 linclusive accept hydro .
***parking $95 per month
Please only text or email at ‪(613)2550933‬",Yes,1,4,Owner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1520874542.0,https://www.kijiji.ca/v-short-term-rental/ottawa/parc-cite-standard-single-room/1520874542,"3440 Av du Parc, Montréal, QC H2X 2H5, Canada",ontario,45.5087637,-73.5724304,1260.0,,"For full privacy, this room has it all. With lots of storage, a private bathroom, a desk and chair, as well as a bed and mattress and an armoire, our single room will give you all the space you need. Privacy and Community - get it all in one place. All our rooms include a flat screen TV and a Roku device.


Furniture, hydro, water, internet, Air conditioning, Hot water, heating included in the rent. + access to: laundry room, games room, gym, kitchen, study rooms, study lounges.",Yes,1,Bachelor/Studio,Owner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1518720102.0,https://www.kijiji.ca/v-short-term-rental/ottawa/all-furnished-1-bedroom-with-hydro-cable-only-near-downtown/1518720102,"43 Rue Élisabeth-Bruyère, Gatineau, QC J8X 1T1, Canada",ontario,45.4311523,-75.7112537,1500.0,,"Short Term - Long Term MINIMUM 6 months

More apartments available, text me if you need it before October

Available 1st of October

NO PARKING available

Beautiful and cozy one bedroom apartment approximately 700sqf in an quiet and very well known location only one block from Alexandra Bridge & History Museum of Canada and two blocks from Portage,

Includes; Hydro (Electricity), heat, Two Air conditioner unites one in your bedroom and one in the living room-kitchen, inside apartment washer and dryer, all furniture as showing in the pictures taken August 2020, all kitchen utensils to prepare your own meals, high/speed internet & cable, an executive desk and chair, all blankets and sheets, towels, etc... you need only to bring your personal stuff.

Rent as follow;

6 more months $ 1,600per month,
6-8 months $ 1,550 per month,
8-12 months $ 1,500 per month,

A security & cleaning deposit of $ 300 is required plus first month, LAST Month is NOT necessary to be pay in advance.

No pets are permitted and not smoking is permitted, thank you !",Yes,1,1,Owner,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1516442513.0,https://www.kijiji.ca/v-short-term-rental/ottawa/4-month-lease-roommates-wanted-algonquin-college-furnished/1516442513,"975 Woodroffe Avenue, Ottawa, ON, K2A 3G9",ontario,45.36304,-75.7688287,690.0,,"<p>Roommates wanted - Accepting 4 month stays for those who have co-op or exchange in ottawa and only need a room for 1 semester!<br /><br /><strong>**PROMOTION: First Month Discounted 50%**</strong><br /><br />Co-Living Furnished All-Inclusive Living Experience<br /><br />Pictures shown in listing are of the exact apartment available.</p><p>15 minute walk to Algonquin College and 10 Minute drive to Carleton U. Algonquin College bus stop across the street.<br /><br />Our Fully furnished suite are move-in ready with just a suitcase and your bedding.</p><p>7 bedroom suites with high ceilings, 3 bathrooms, a balcony, brand new appliances and open kitchen and living room looking for roommates !<br /><br /></p><p>Lease Amounts Include the Following Services:</p><ul><li>Fully Furnished with Modern Pieces (Exact Pictures in Listing)</li><li>Heat, Water, Wifi Included</li><li>Central Air Conditioning</li><li>Building Wide WIFI</li></ul><p>Our location Includes the following Features:</p><ul><li>Fully Furnished</li><li>In-Suite Laundry</li><li>Modern Kitchens with Granite Counter Tops, Stainless Steel Appliances and Gas Stove</li><li>Laminate Floors</li><li>High Ceilings</li><li>Extra Large Windows</li></ul><p><b>Please contact us via email through this listing. If you would like a virtual tour or in person tour let us know!</b></p>",Yes,3,6+,Professional,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1515059606.0,https://www.kijiji.ca/v-short-term-rental/ottawa/full-furnished-all-inclusive-short-term-private-suites-available/1515059606,"330 mcleod, ottawa, ON, K2P 2C5",ontario,45.4117182,-75.691806,1650.0,,"<p><b>330 McLeod Furnished All-Inclusive Living Studio with 1 Bath</b></p><p></p><p>Welcome to our engaging and collaborative community designed</p><p>for professionals and the mature millennial. This new community offers fully furnished private bachelor units with private en-suite bathrooms, stylish work and living spaces. All utilities as well as internet are included. Residents will share and interact with each other in dedicated social and communal living spaces including a fully stocked kitchen, lounges located on each floor and a large social and TV lounge on the main floor.</p><p></p><p><b>Community Amenities:</b></p><p></p><ul><li>Private Bachelor units with private en-suite bathrooms</li><li>Fully furnished units with high end furniture and smart TV</li><li>All utilities and WIFI included</li></ul><p>Shared lounges and social spaces on each floor</p><ul><li>Business Centre with printers and computers</li><li>Bike Room and mail/package storage</li><li>On-site management</li><li>Onsite Parking</li><li>Housekeeping services available</li><li>Laundry lounge and dry-cleaning service</li><li>Secure access and monitoring</li><li>Monthly community activities</li></ul>",Yes,1,Bachelor/Studio,Professional,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1505832219.0,https://www.kijiji.ca/v-short-term-rental/ottawa/4-months-173-henderson-7-bedroom-september-uottawa/1505832219,"173 Henderson, Ottawa, ON, K1N 7P7",ontario,45.4220424,-75.6786949,695.0,,"<p><b>Smart Living Properties 173 Henderson Avenue - Fully furnished, all inclusive living - close to UOttawa Sports Complex and King Arthur Bus Routes<br /><br />**PROMOTION: First Month Discounted 50%**<br /></b></p><p>This upper level, 7 bedroom unit offers all inclusive, furnished student living, within a 4 minute walk to campus. The unit comes with fully furnished bedrooms, living room and dining area, including WiFi making your moving experience as convenient as possible. Avaialble for 4 or 12 month terms.<br /><br />The unit offers a co-living environment for groups or studens seeking accommodation for the upcoming term. It is best suited for students seeking a co-living experience close to campus and among friends. Prices average $730/group member.<br /><br />This unit comes fully equipped with the following features:<br /><br />- Modern kitchen with granite countertops<br />- Stainless steel appliances - Two fridges, stove, microwave and dishwasher<br />- Central AC and Heat<br />- Dedicated unit router - WiFi internet<br />- Furnished living room including sectional sofa and smart TV<br />- Furnished bedrooms which include a double bed frame, mattress, desk, chair, closet/wardrobe and select night stands<br />- Rear patio<br />- Free in unit laundry<br /><br />173 Henderson is just a block away from the the Sports Complex, campus gym, Father and Sons and other dining options located in Sandy Hill. For those of you who want to get inside campus as soon as possible in the winter, this is your best option!</p><p><strong>Please Message us through this listing for more information or to find out how to book a tour.</strong><br /><br /><strong>You can also visit us athttps://www.smartlivingproperties.ca/rental-options to view the details and book a virtual viewing.</strong></p>",Yes,3,6+,Professional,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1520836241.0,https://www.kijiji.ca/v-short-term-rental/ottawa/furnished-studio-with-private-washroom-near-univ-airport/1520836241,"Ottawa, ON K1V 9R8, Canada",ontario,45.3482,-75.67502,800.0,,"Best suited for a student or a working professional who enjoys living in a clean home. The beautiful BACHELOR/STUDIO room is fully furnished in a beautiful townhouse; in a safe and quiet neighborhood of Paul Anka Dr.

The location is 15 minutes bus ride to Carleton University, 30 minute bus ride to University of Ottawa or Downtown. Additionally, 10 minutes walk to IBM building at the intersection of Riverside Dr. and Uplands Dr. Very well connected to city transport, i.e. OC Transpo/O Train. As well as, within walking distance to number of restaurants, including shopping and entertainment.

Oops! did I mentioned, 5 - 10 minutes drive to Ottawa Macdonald–Cartier International Airport. The room is available for move-in now...

What is included in CAD $800 monthly rent?
• Fully furnished beautiful BACHELOR/STUDIO basement bedroom with a KITCHENETTE, including a NEWLY RENOVATED PRIVATE WASHROOM
• Utilities - heat, hydro, a/c, and unlimited internet
• Comfortable bed, study table with chair and table lamp, indoor plants, walk in closet, bluetooth speaker, hair dryer, yoga mat, beautiful paintings, laundry (washer & dryer), hot plate, microwave and a small fridge, including utensils
• Parking available on street
• Complimentary bicycle in summer during your stay

Location...
• 2 minute walk to bus stop at the intersection of Paul Anka Drive and Uplands
• 5 minutes walk to number of restaurants, groceries (Metro), pharmacy (Shoppers), as well as, Cineplex South Keys (15 minute walk)
• 15 minutes bus ride to Carlton University by OC Transpo via Greenborough station and 30 minute bus ride to University of Ottawa or Downtown. As well as, 10 minutes walk to IBM building at the intersection of Riverside Dr. and Uplands Dr

*For single person occupancy!
**phone call or txt preferred @ 613.917.7746
***Minimum 4 months lease required",Yes,1,Bachelor/Studio,Owner,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1520836103.0,https://www.kijiji.ca/v-short-term-rental/ottawa/room-for-rent-downtown-near-univ-of-ottawa/1520836103,", Ottawa K1N 7X5 ON, Canada",ontario,45.4207222,-75.6748886,60.0,,"**All-Inclusive - Furnished ROOM - Free Wifi**


A spacious, quiet, and private room (the one with 2 beds in the photo, but not shared) for rent with access to a shared kitchen and bathroom with only one person.


- Excellent rate of only 60 $ per night! All utilities and WiFi included. Minimum of 3 nights, single occupancy


- Conveniently located next to bus stops, stations, and stores and restaurants. In Sandy Hill within walking distance to downtown Ottawa and the University of Ottawa


- No visitors, no loud music, non-smoking area

- Perfect for students, professionals, or others needing a temporary place to stay.

- For quicker responses, please include a short self introduction with the date you would like to move-in, thank you.",Yes,1,,Owner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1520836086.0,https://www.kijiji.ca/v-short-term-rental/ottawa/get-this-now-beautiful-log-cabin-weekly-rental-on-the-water/1520836086,"39276 Combermere Rd, Combermere, ON K0J 1L0, Canada",ontario,45.3633459,-77.6220495,,,"Do you want to unwind, unplug and truly immerse yourself in nature? If you're planning a family getaway, we welcome you to stay in beautiful Combermere cottage country. Contact us now! This is a first time rental for an extremely loved, well taken care of, family owned cabin for almost 60 years! You don't want to miss out on this opportunity for an unexpected last minute cabin rental available in August!!


It is still summer, but if you've been waiting to take a long awaited vacation or want a quiet, peaceful retreat to work remotely when the autumn leaves begin to turn, this is the place. There is no better location to see the beauty of the fall colours than here.


This beautiful, log cabin looks like it could be on a Canadian postcard. It is nestled on a beautiful double treed lot with breathtaking views of Negeek Lake and the Madawaska River. Open the door and this rustic, cozy cabin beckons for you to escape it all. From the gorgeous log walls to the unique and ornate headboards made of branches and log pieces, this place is one of a kind. The open concept allows plenty of room and sleeps up to 4 adults and 2 children comfortably.


Spend days at the water and evenings by the fire pit listening to the loons. This river is their haven. On rainy nights curl up on one of the day beds with a book or enjoy the roomy space and large table for a game of cards. Best of all, brace yourself for sunsets that will take your breath away. The spacious and flat lot is also perfect to set up a net for volleyball or badminton, or just let the kids play! The cabin is located on a quiet dead end road, so it's safe and perfect for a walk or bike ride.


The whole area is absolutely stunning and offers clear water, sandy shores, waterways to explore, amazing restaurants and a variety of lovely shops with unique items. All of this keeps people coming back year after year. Algonquin Park is only an hour away, so it's perfect for a day trip. When you want to get away from the hustle and bustle, we welcome you to a peaceful retreat that you can enjoy with family and friends, or on your own. Located only 2 hours west of Ottawa and a few hours north of Toronto, this could be yours for an end of the summer or fall getaway.


Want to get out on the river? Explore over 90 km of waterways with great fishing and boating. The 150 feet of natural shoreline has a sandy bottom with a gradual slope, so you have peace of mind when the kids are in the water. Feel free to bring your own watercraft or rent a boat from a nearby marina right across the river. Our 24 foot dock is at your disposal, and a boat launch is only 5 minutes away.


We ask that you please bring your own towels and linens, as well as drinking water.


Everything you need for a fun filled holiday awaits you here. We hope to see you!",Yes,1,1,Owner,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1520834604.0,https://www.kijiji.ca/v-short-term-rental/ottawa/cottage-for-rent-with-hottub-aug-31-to-sept-4/1520834604,", Cayamant j0x1y0 QC, Canada",ontario,46.140426,-76.2419069,1000.0,,"Last week of summer for August 31 just became available

Beautiful cottage on Lac Cayamant with sandy shore close to all amenities like depanneur , restaurant , gas bar. There is even delivery at your door if one night you feel like having pizza! The cottage comes equipped with jacuzzi HOTTUB ,satellite TV , internet , BBQ with propane , one canoe and 2 kayaks. It has one air conditioned unit for those muggy days. (4 Adults or 2 Adults 2 kids max. )(Age group 30+ only)

5 days for $1000 - Monday to Friday


Only quiet responsible adults need reply",Yes,1,2,Owner,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
