,adId,url,address,province,latitude,longitude,rent,utilities,description,Furnished,Bathrooms,Bedrooms,For Rent By,Pet Friendly,Water,Heat,Hydro,Agreement Type,Parking Included,Accessible Washrooms in Suite,Audio Prompts,Braille Labels,Elevator in Building,Storage Space,Internet,Cable / TV,Visual Aids,Barrier-free Entrances and Ramps,Bicycle Parking,24 Hour Security,Concierge,Pool,Gym,Smoking Permitted,Balcony,Yard,Air Conditioning,Fridge / Freezer,Dishwasher,Laundry (In Building),Laundry (In Unit),Wheelchair accessible,building_access,laundry,Unit Type,Size (sqft),Virtual Options,Term Agreement,Move-In Date
0,1514693209.0,https://www.kijiji.ca/v-short-term-rental/ottawa/room-for-rent-downtown-near-univ-of-ottawa/1514693209,", Ottawa K1N 7X5 ON, Canada",ontario,45.4207222,-75.67488859999999,60.0,,"**Furnished ROOM - Conveniently located - All inclusive - Free WiFi**


A great, spacious, and private room (the one with two beds in the photo, but not shared) for rent with access to a shared kitchen and bathroom with only one person.


- Great value ! Only 60 $ per night (minimum of 3 nights, single occupancy, all utilities and WiFi included). Weekly, monthly rates available!

- Excellent location! In Sandy Hill within walking distance to downtown Ottawa and the University of Ottawa

- Bus stop, restaurants, stores are only a couple minutes walk away

- Perfect for students, professionals, and more!

- For quicker responses, please include a short self-introduction with the date you would like to move-in, thank you.",Yes,1.0,,Owner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1514652740.0,https://www.kijiji.ca/v-short-term-rental/ottawa/perfect-getaway-cottage-50-minutes-from-ottawa/1514652740,", OTTAWA K1S1R1 ON, Canada",ontario,45.40020260000001,-75.67683679999998,,,"This beautiful cottage is situated on a small quiet lake that is perfect for anyone looking for a relaxing escape from the city. Whether it's stepping right out of the cottage onto the lake to go for a dip, or going for hikes around the various trails nearby or a night in watching movies with your family, this cottage has it all. If you are a family that is big into sports and competition, there is a bonus games room with ping pong, air hockey, billiards. Along with other activities like outdoor volleyball, and darts. Whatever your families perfect getaway is, this cottage is guaranteed to check all the boxes and create some amazing memories that will last a lifetime.


The cottage comes equipped with:

-Fully stocked kitchen

-4 bedrooms and 1 bathroom

-Fire pit

-BBQ and outdoor covered dinning table

-Ping pong, billards, darts, air hockey, and board games

-Canoes, Sail boat, kayaks and paddle boards

-Bikes

-Bedding provided

-High speed internet and Netflix


No parties allowed

No smoking indoors

No loud music after 10pm

No motor boats on the lake

AVAILABLE WEEKS

ANYTHING AFTER SEPTEMBER 6


Weekly rate - 1900

Please call 613-697-6497 for booking information",Yes,1.0,4,Owner,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1514651751.0,https://www.kijiji.ca/v-short-term-rental/ottawa/private-and-cozy-getaway-cottage-50-minutes-from-ottawa/1514651751,", Ottawa k1s1r1 ON, Canada",ontario,45.40020260000001,-75.67683679999998,,,"This all year around cottage is perfect for families!The cottage is comfortable, well built and has a beautiful design. It sits on 2 acres of land surrounded by forest and 20 feet from the lake.

-100 yards of shoreline for your use.

-3 bedroom plus den area

-High speed internet so you can stay connected or watch your favourite movies in the evening.

- Indoor fireplace.

- Fully equipped with linens and a full kitchen.

- BBQ on the deck overlooking the beautiful peaceful lake.

- 2 Full bathrooms.

- Plenty of hiking available around the lake nearby.

- Paddle boat, kayak, and darts.

-Badminton

-Fire pit

-Long dock.

- 5 minutes to corner store.

-No motor boats allowed.

-No cell service for most cell phone carriers

-Weekly rate- 1750

AVAILABLE WEEKS

-ANYTHING AFTER AUGUST 30

FAQ

Water source: water well

Great for fishing and swimming",Yes,2.0,3,Owner,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,566014407.0,https://www.kijiji.ca/v-short-term-rental/ottawa/brockville-1000-islands-cottages-4-season-cottage/566014407,"Brockville, ON K6V5T1, Canada",ontario,44.662931799999996,-75.6387985,155.0,,"40' from the scenic St. Lawrence River. Year round winterized cottage on over 2 acres of treed riverfront privacy and only 2 minutes from historic downtown Brockville. Cottage is fully equipped with: full sized refridgerator & stove complete set of cookware, dishes, utensils microwave, coffee maker, toaster, crock pot cable, flat screen tv, wifi fire pit, bbq, kayaks & canoe Please go to brockville1000islandscottages.com for more information & pictures. T: 613-349-4930",Yes,1.0,2,Owner,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1514632418.0,https://www.kijiji.ca/v-short-term-rental/ottawa/vacation-cottage-house-rental-with-lake-access/1514632418,", J0X 1A0, Lacelles, QC, Canada",ontario,45.729299,-75.9843429,,,"Beautiful space in the Outaouais countryside to rent for your vacation (35 minutes from Ottawa; 10 minutes from Wakefield. It sleeps 4, with one private bedroom. Both are furnished with queen-sized beds. It would be ideal for a couple or a family. It is fully furnished, and has all amenities, including high speed internet. Bring along your bathing suits, canoe or kayaks to take advantage of the clean beautiful lake!

$750 for one week or $1,300 for two weeks. Available as of August 1.",Yes,1.0,1 + Den,Owner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1514586831.0,https://www.kijiji.ca/v-short-term-rental/ottawa/available-now-furnished-studio-with-garage-parking-all-inclusive/1514586831,"475 Laurier Ave W, Ottawa, ON K1R 7X1, Canada",ontario,45.416494,-75.70464840000001,1750.0,,"Exceptional ground-floor studio offers the perfect combination of convenience and practical living. Working from home will be a pleasure as the unit is retrofitted with custom-designed furniture to allow easy transformation between living and working environments. Located just steps away from the heart of Ottawa's downtown and business district, a variety of restaurants and entertainment venues are just a stone's throw away. Available for both short (3-month minimum) and long term stays, this unit will suit the needs of professionals and students alike. Please kindly reply with name and phone number if interested.


Unit Highlights:

•	Large underground parking spot included

•	Utilities (water, heat and hydro) included

•	High-speed internet included

•	Ample storage (closets, shelving, drawers)

•	High 10 foot ceilings

•	Constant fresh air intake

•	Ground-floor apartment makes social distancing easier

•	Large windows

•	Wood flooring

•	Quiet


Building Highlights:

•	Steps to Lyon O-Train LRT Station

•	Highly secure key-fob building access with security cameras

•	Smart card laundry facilities	on-site

•	Gym facilities

•	Underground secured bike storage

•	Non smoking building


87 Walk Score - Very Walkable - Most errands can be accomplished on foot.

100 Transit Score - Rider’s Paradise - World-class public transportation.

98 Bike Score - Biker’s Paradise",Yes,1.0,Bachelor/Studio,Owner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1514583771.0,https://www.kijiji.ca/v-short-term-rental/ottawa/luxury-downtown-condo-available-september-1/1514583771,"235 Kent St, Ottawa, ON K2P 0A5, Canada",ontario,45.41654459999999,-75.69945489999998,1900.0,,"One bedroom, one bathroom condo in the heart of downtown Ottawa. Five minute walk to Parliament, Rideau canal, and Elgin Street. Fully furnished with stainless steal appliances, granite countertops and hardwood floors. Clean friendly building.


Parking is available from the city(outside) or another tenant(150$).


Full service appliances: in-unit laundry, dishwasher, fridge, stove/oven.",Yes,1.0,1,Owner,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1514572541.0,https://www.kijiji.ca/v-short-term-rental/ottawa/cottage-for-rent-on-patterson-lake-for-sept-oct/1514572541,", K0G 1G0, Lanark Highlands, ON, Canada",ontario,44.8115039,-75.91595140000001,550.0,,"Rest and relax on beautiful Patterson Lake in the Lanark Highlands situated 1 hour from Ottawa.


Beautiful cottage situated on over 8 acres of woodland which is very private and suitable for family time away from city life. Very good swimming and fishing, cottage has a paddle boat and canoe.


Cottage can accommodate up to 8 people, it has 2 queen size beds, 1 double bed and a bunk bed in a screened-in porch.


Weekend rate is $550.00 with two night stay for following weekends:


September Friday 11th to Sunday 13th

September Friday 19th to Sunday 20th


October Friday 2nd to Sunday 4th


Additional nights are $200.00


Weekly rate Sunday to Sunday is $1400.00


Thanksgiving long weekend from Oct 9 to 12 is $700.00 (3 nights)


Refundable damage deposit of $250 applies to all rentals.


Rental subject to Covid 19 restrictions.",Yes,1.0,4,Owner,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1514568560.0,https://www.kijiji.ca/v-short-term-rental/ottawa/cottage-for-rent-on-bobs-lake/1514568560,"Mica Point Ln, South Frontenac, ON K0H 2B0, Canada",ontario,44.71344939999999,-76.5740735,1200.0,,"Two bedroom cottage on Bobs Lake with 3 pc bath. Satellite tv, bbq, modern kitchen. Private yet easily accessible. Deck overlooking the lake. Includes rowboat, canoe and peddle boat. Max people on property 4.

Photos below from the spring time before the lawn was cut. Also features small bunkhouse with sliding door and deck. $1200 per week. Availability August 22 to September 7th.",Yes,1.0,2,Owner,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1286231896.0,https://www.kijiji.ca/v-short-term-rental/ottawa/studio-furnished-like-an-hotel-suite-no-lease-5-locations/1286231896,"Ottawa, ON K1Z7Z1, Canada",ontario,45.3829893,-75.72376849999998,396.0,,"4 LOCATIONS TO SERVE YOU:

#1: 276 Presland Road, Ottawa

#2: 275 St-Laurent Blvd, Ottawa

#3: 1186 Shillington ave, Ottawa

#4: 1109 Shillington ave, Ottawa

#5: 2098 Montreal Rd, Ottawa


HOTEL LIFESTYLE:

Fully Furnished - Bed & bed Linen - Dishware - Weekly Maid Service - TV - Rogers Satellite system - 7 movie channel - Unlimited High Speed Internet - Telephone - Fridge - Stove - Heat - Hydro - Parking - On Site Laundry


BOOKING:

Upon booking you pay your last week $396 (Departure Notice)


THEN, EXTEND YOUR STAY - PAY AS YOU GO:

RATES: 1week/$396, 2wk/$737, 3wk/$1,032, 4wk/$1,282 (departure notice - prepaid 1 week). 30+ days no tax.


AVAILABILITY: Contact us for availability


Eric Charette - Owner

Text/mobile: 6 1 3 - 2 7 7 - 6 1 3 2",Yes,1.0,Bachelor/Studio,Owner,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
