web_link,building_location,building_location_link,building_type,price,date_posted,rental_attr,neighbourhood,raw_description
https://ottawa.craigslist.org/apa/d/ottawa-spacious-renovated-1-bedroom/7152300936.html,Ivy Crescent near Mackay,"https://www.google.com/maps/search/45.441375,-75.679064",/ 1br - 1200ft,$1745,2020-07-02T12:18:18-0400,"c(""1BR / 1Ba"", ""1200ft2"", ""available aug 1"", ""apartment"", ""w/d in unit"", ""no smoking"", ""off-street parking"")",(New Edinburgh),"Beautiful, newly renovated 1 bedroom plus den on two levels in New Edinburgh. 
Close to all the conveniences on Beechwood Avenue (grocery, shops, restaurants, cafes, transit), Stanley Park on Rideau River, and a short walk to downtown and Global Affairs.
Spacious and bright with hardwood and ceramic floors. 
New bathroom, new kitchen with fridge, stove and dishwasher and in-unit washer and dryer.
Lots of storage. Dedicated deck and patio area in the backyard.
Includes one off-street parking spot.
Quiet, non-smoking, no pets building.
$1745 per month including natural gas, water, and parking. Tenant pays hydro.
Available August 1st. References required."
https://ottawa.craigslist.org/apa/d/ottawa-fully-renovated-4-1-duplex-suite/7160500635.html,91 Concord ST N,"https://www.google.com/maps/search/45.415530,-75.678292",/ 4br - ,$3860,2020-07-16T15:06:04-0400,"c(""4BR / 2Ba"", ""duplex"", ""w/d in unit"", ""no smoking"", ""off-street parking"")",(Ottawa),"Fully renovated 4 + 1 duplex suite (4 bedrooms + den)

Location: 91 Concord ST N, Ottawa, Ontario, Canada, K1S 0Y7

Start:  September 1st, 2020
Term:  At least 12 months
Price:  $3860/month + utility, no pet, no smoking

Income and credit proofs are required for tenants


Description
Live in a newly fully renovated 4+1 suite (4 bedrooms plus den) in a duplex house with modern kitchen, Maple hardwood floor, and brand-new central air-conditioning and heating system. More than $320,000 interior renovation, and more than $100,000 exterior renovation, both were done in 2019. Available from September 1st, 2020.

Located Downtown Ottawa near the Glebe area and the Golden Triangle area with top high schools Lisgar Collegiate Institute and Colonel By Secondary School; steps from the Rideau Canal and LRT station, walking distance to Ottawa University, Ottawa City Hall, Rideau Shopping Centre, ByWard Market, Shaw Centre, National Arts Center, Parliament Hill. 

Features:
1)	Modern kitchen with new appliances and quartz countertop 2019.
2)	Maple hardwood floor throughout 2019
3)	Brand new energy efficient lowE windows with new curtains 2019
4)	Two brand new modern bathrooms 2019
5)	Ensuite laundry room with brand new washer and dryer 2019
6)	New self-contained central air-conditioning and heating system 2019
7)	Two floors: a master bedroom with an ensuite, a bedroom, and a sitting room in the third level; two bedrooms, living, dining and kitchen in the second level.
8)	High ceiling in the lower level, hardwood ceiling in the upper level
9)	A private parking is included in the rent.


Room size in level 2 (feet):
Bedroom 1: 14' x 10'
Bedroom 2: 12' x 10'
Living room: 15' x 12'
Dining room: 12' x 11'
Kitchen: 16' x 11'
Bathroom: 8' x 7'
Laundry room: 3' x 7'

Room size in level 3 (feet):
Master bedroom: 15' x 12'
Ensuite: 10' x 7'
Bedroom 4: 10' x 8'
Den: 12' x 6'
Furnace and storage room: 10' x 8'"
https://ottawa.craigslist.org/apa/d/ottawa-wonderful-st-ra-nd-breathtaking/7164967407.html,NA,NA,/ 2br - ,$1300,2020-07-24T07:31:39-0400,"c(""2BR / 2Ba"", ""apartment"")",(Ottawa),"The main living space is extremely large and flexible to accommodate a dining room, a living room and an office space! The spacious master bedroom offers double closets and its own ensuite"
https://ottawa.craigslist.org/apa/d/ottawa-briston-pvt-near-conroy-hunt/7165225044.html,278 BRISTON PVT near BLOHM DRIVE,"https://www.google.com/maps/search/45.367096,-75.617566",/ 2br - ,$1800,2020-07-24T14:29:20-0400,"c(""2BR / 1.5Ba"", ""available sep 1"", ""condo"", ""w/d in unit"", ""no smoking"", ""off-street parking"")",(Hunt Club),"Available September 1st, gorgeous lower level stacked townhome with bright, renovated kitchen with comfortable eating area which opens to large livingroom and sliding patio doors to balcony.  Spacious entrance and powder room near entry. Lower level includes 2 nicely sized bedrooms, main bathroom, in unit laundry and plenty of storage.  1 exterior parking space just outside the front door.  5 appliances and central vac included.  No smoking condo complex means no smoking on front or back stairs, landings or common elements such as rear decks/yards.  All windows & patio door have been recently replaced & are PVC for high-efficiency - OC Transpo is a one minute walk, close proximity to 417 highway, shopping, schools, library, daycare, community centre etc. - unit is very close to Briston complex entrance (easy in/out) - family-friendly community - plenty of visitor parking available (overnight visitor parking permitted 3 out of every 7 days) No smoking, no pets.  Cable and internet responsibility of tenant. Please note showing times Monday to Friday from 9am to 3 pm, later showings possible with sufficient notice.  $1800 plus hydro/hwt.

For more information or to book a viewing, please text, email or call Christina at  
.  

Please note all messages will be replied to on Monday, July 27th, showings to start Wednesday, July 29th by appointment only.

Our company is following strict Covid-19 practices & guidelines, visitors must wear a mask.  Showings are limited to 2 people per visit."
https://ottawa.craigslist.org/apa/d/aylmer-north-room-for-rent-in-plateau/7165173147.html,7 Maremme St near Maremme & Marigot,NA,/ 1br - 1700ft,$600,2020-07-24T13:21:21-0400,"c(""1BR / 1.5Ba"", ""1700ft2"", ""available aug 1"", ""furnished"", ""house"", ""laundry on site"", ""no smoking"", ""off-street parking"")",(Gatineau),"Fully furnished Room with all utilities included in a quiet and family living area of Plateau – Gatineau 

Newly painted, one bed room, full access to the entire house with two other tenants (leaving room, washrooms, dining room, kitchen, laundry and back yard, …)

•	Available: Immediately → Room 1, Queen bed
•	Available: September 1st, 2020 → Room 2, Queen bed
•	Price: $600/month
•	Term: Until April 30th 2021, then on a month to month basis thereafter with one-month notice required

All utilities included
•	Heat and electricity included
•	High speed internet, TV + TV channels included 
•	Air Conditioning (AC) 
•	Laundry on site

Nice and quiet area with all amenities just few minutes away
•	Direct buses to Ottawa downtown (Bus 34, 24, 49)
•	Shopping mall just 2 minutes away by bus and 5 to10 minutes walks
•	Parks and outdoor sport facilities just 2 minutes away
•	Parking included (driveway)
•	Non-smoking and no pet

Contact Ulrich to schedule a visit @ Tel:"
https://ottawa.craigslist.org/apa/d/ottawa-luxury-4-bedroom-home-large-wrap/7148097905.html,312 Chapel Street near Laurier Ave E,"https://www.google.com/maps/search/45.427040,-75.677948",/ 4br - 2800ft,$3750,2020-06-25T10:14:36-0400,"c(""4BR / 2Ba"", ""2800ft2"", ""available sep 1"", ""cats are OK - purrr"", ""dogs are OK - wooof"", ""furnished"", ""duplex"", ""laundry in bldg"", ""off-street parking"")",(Sandy Hill),"2-stories of a high-end 3 story Victorian house located at the top of Sandy Hill (near Laurier). 4 bedrooms with a study, a dining room, a living room, a den and 2 full bathrooms. Second floor features a very large master bedroom, connected to a wrap around deck that meets the modern chef's kitchen. From the kitchen, there is a long dining room, study/office, full bathroom and living room. The top floor boasts several skylights, 3 bedrooms, 1 large bathroom and a den/common space.

Other features:
- Hardwood floors and ceramic throughout
- High ceilings
- Crown molding
- Skylights
- AC
- Stainless steel appliances with industrial kitchen sink
- Granite countertops
- Washer and dryer in the building
- Classic chandelier lighting
- Utilities included: Heat, Hydro, Hot Water and Water
- Internet included
- Fully furnished (can be removed only for committed long term stay)
- Off-street parking is available
- Walking distance to downtown
- Walking distance to the University of Ottawa
- Offers office, study and work space

The pictures: the kitchen, deck off kitchen, wrap around to main deck (connected to master), master bedroom (2), dining room and living room, bathroom, 2 bedrooms, 3rd floor den, 3rd floor bathroom, 3rd floor master.

Minutes from the University of Ottawa and walking distance to the [normally] lively Byward Market, Rideau Centre, and the Rideau Canal. Easy to access the Queensway 417 highway at the Vanier Parkway Riverside exit or directly from the Mann and Nicholas exit. Linked to the transitway and upcoming LRT at the University, or down the bike path from Lees and Hurdman stations. Via Rail also very close.

Just a short walk from Strathcona Park and the Rideau River. This provides access to the Rideau River Bike Path, a cycling and walking trail through nature along the river connecting Sussex by the Rideau Falls & the Ottawa River (near Global Affairs Canada GAC) down to Mooney's Bay, Carleton University, Hog's Back Falls and beyond. Pedestrian bridges over the river provide access to extensive parkland, with the Rideau Sports Centre, public tennis courts and the Loblaws Superstore right nearby.

For more information, please email or call  
 . Available for SEPTEMBER 1st or August 1st. Tenancy can end April 30, 2021."
https://ottawa.craigslist.org/apa/d/ottawa-1-bedroom-1-bathroom-apartment/7159002446.html,1315 Essex St,"https://www.google.com/maps/search/45.385456,-75.668186",/ 1br - 600ft,$1050,2020-07-14T04:49:46-0400,"c(""1BR / 1Ba"", ""600ft2"", ""available jul 15"", ""apartment"")",(Ottawa),"Cozy 1 Bedroom 1 Bathroom recently renovated apartment in Alta Vista.
-Private Entrance through the back door of the house.
-Prime location. Quiet neighbourhood. Only a five minute walk to Blue Heron Mall (with Farmboy, a bakery, Baskin Robins and the Pelican Fish Market). 5 minute walk to the transit way at Billings Bridge. Close to parks and green space. 20 minute walk to the General Hospital and CHEO.

-Utilities and high speed fibre optic internet included.
-Street parking permits available.
-Shared Laundry available on site.
NOTE: For Details and Application, Reply back with Your Name, Email Address, Phone Number, Numbers of occupant and Move in date."
https://ottawa.craigslist.org/apa/d/ottawa-spacious-one-bedroom-apartment/7165004501.html,309 Stewart St. near Augusta,"https://www.google.com/maps/search/45.429953,-75.677026",/ 1br - 900ft,$1400,2020-07-24T09:17:12-0400,"c(""1BR / 1Ba"", ""900ft2"", ""apartment"", ""laundry in bldg"")",(Ottawa),"Beautifull apartment first floor $1400 per month
one bedroom, big living room
renovated bathroom
kitchen, dining room, a lot of storage space
hardwood floors, 9 foot ceiling, about 900 sq. feets
locker and laundry in the basement
backyard accessible from the kitchen
hydro and rental for el. water heater tank is paid by tenant
rent includes heat and water
3 hr. parking on the one way street
great location near University of Ottawa,
public transport, parks, shops, Byward Market
perfect for professional or couple
no smoking, only mature and quite person
available from or September 1st. 2020
for futher info or to view the apartment please call"
https://ottawa.craigslist.org/apa/d/ottawa-bayshore-one-bedroom-apartment/7164888939.html,NA,NA,/ 1br - 600ft,$1330,2020-07-23T22:54:10-0400,"c(""1BR / 1Ba"", ""600ft2"", ""available aug 1"", ""cats are OK - purrr"", ""dogs are OK - wooof"", ""apartment"", ""laundry in bldg"", ""no smoking"", ""off-street parking"", ""wheelchair accessible"")",(Nepean),"Best location at front street of bayshore shopping center with a comfortable clean one bedroom apartment for sublet from Aug/Sep to Jan. The lease can be extended for long term of course.

The family room is in good size with big windows and can walk out on your private balcony where you can lay a table and chairs to enjoy the summer time outside. All hardwood floor. The kitchen is actually quick big size for a small family with a dinner table inside. Rental fee includes electricity/Heating/water.

The reason for transferring the lease is because of my leaving Ottawa. One of the benefit for sublet is the flexibility of relative short term rental if you want. I definitely would believe you would like this area and would like to stay longer.

Best thing living here in general is you will have everything convenient for transportation, entertainment, to ottawa river beach/park for walking, food and kids education.

The many bus stops with a few steps walking distance brings you to everywhere."
https://ottawa.craigslist.org/apa/d/ottawa-grand-model-tri-beca-west-centre/7164193234.html,NA,NA,/ 2br - ,$1300,2020-07-22T19:07:40-0400,"c(""2BR / 2Ba"", ""apartment"")",(Ottawa),"This condo complex includes all your amenities for a convenient lifestyle. Located in the heart of downtown, this building has included everything at your finger tips"
