id,web_link,building_location,building_location_link,building_type,price,date_posted,rental_attr,neighbourhood,raw_description
1,https://ottawa.craigslist.org/apa/d/ottawa-1-bdrm-semi-based-apart-750ft2/7186691078.html,Walkley near Bank,NA,/ 1br - 750ft,"$1,299",2020-08-29T16:28:11-0400,"c(""1BR / 1Ba"", ""750ft2"", ""available sep 1"", ""apartment"", ""laundry in bldg"", ""no smoking"", ""off-street parking"")",(Ottawa),"1BR / 1Ba 750ft2 available now

apartment
laundry in bldg
off-street parking

Perfect location and EASY ACCESS TO EVERYTHING. For two people, price is $1349, all inclusive.

Private 1 bedroom semi-basement apartment with lots of natural light. 

The unit has separate/private entrance. It is near all amenities. 

One driveway private parking spot: $30. LOTS OF STORAGE AREA. Perfect for mature and quiet students; or professionals.

It includes high speed internet, cable and all utilities.

The recent upgrades are: laminate flooring, new drop ceiling, new lighting, new off-white paint, new closet doors in the living room and bedroom.

Kitchen comes with all appliances including microwave. Central AC, Central heating system and central vacuum. 

Shared coined laundry with new high efficiency washing/drying machines.

Close to Ottawa U, Carleton U, Airport, Bus transit Station (meters away); South keys mall and O train (5 min by bus); Mooney's Bay. Bus stop at the doorstep to downtown. 

First and Last required. Call to book viewing:"
2,https://ottawa.craigslist.org/apa/d/ottawa-furnished-byward-market-house/7185800990.html,53 St Andrew St near Sussex,"https://www.google.com/maps/search/45.431253,-75.696627",/ 3br - 2100ft,"$3,500",2020-08-28T10:28:47-0400,"c(""3BR / 2Ba"", ""2100ft2"", ""available sep 1"", ""furnished"", ""house"", ""w/d in unit"", ""off-street parking"")",(Byward Market),"Lovely spacious and incredibly well located house in the Heart of the City, only minutes to all of the best city political, recreational and tourist venues. Minutes on foot to Parliament, Global Affairs, River Parkways and museums. This fully furnished and equipped, spacious three-bedroom house is comfortable, elegant and welcoming.  Perfect for an urban dwelling person who wants the best of all worlds, including proximity and quiet. Three full bedrooms, two full bathrooms. Parking on site. Available short or long term.  Please email telling us a little about yourself for additional information and to arrange a viewing or respond with details by text or WhatsApp to  
. Thanks. Patrick."
3,https://ottawa.craigslist.org/apa/d/ottawa-lisgar-bronson-large-3-bedroom/7171374153.html,582 Lisgar St near Bronson,"https://www.google.com/maps/search/45.413330,-75.705870",/ 3br - 1000ft,"$2,400",2020-08-04T13:05:09-0400,"c(""3BR / 1Ba"", ""1000ft2"", ""available oct 1"", ""apartment"", ""laundry in bldg"", ""no parking"")",(Ottawa),"Located on Lisgar between Bronson and Percy. This is a large 3bdrm apt that will be freshly painted, floors refinished,  carpets replaced with with hard floors, and  ready for Oct 1 move in date. The apt has a large living room18 x20,  dining room 15x9, kitchen with stove, fridge and dishwasher, and breakfast bar,  washroom with separate tub and shower, 3 bedrooms 10x12, 9x12, 9x11, balcony, going laundry in building, located on 3 rd floor of a 4plex, heat and water included. hydro extra.  video walk through available.  Rent is 2400.00. If you are interested let me know who the apt would be for."
4,https://ottawa.craigslist.org/apa/d/ottawa-lisgar-percy-3-bedroom-apt-oct/7177277755.html,580 Lisgar  st near Percy,"https://www.google.com/maps/search/45.413530,-75.705414",/ 3br - 800ft,"$1,900",2020-08-14T11:55:27-0400,"c(""3BR / 1Ba"", ""800ft2"", ""available oct 1"", ""apartment"", ""laundry in bldg"", ""no smoking"")",(Ottawa),"Located on Lisgar between between Percy and Bronson, this is a 3 bedroom, 2 level apt, the main Floor has a living room with gas fireplace, dining room, kitchen with stove, fridge, and dishwasher, Second floor has 3 bedrooms and a washroom. this apt is located in the back of the original house, with it s own private entrance, coin laundry in main building, heat and water included. Available for Oct 1 at a monthly rent of $1900.00"
5,https://ottawa.craigslist.org/apa/d/vanier-sept-1-st-new-two-level-townhome/7171705564.html,247 Granville St near Montfort,"https://www.google.com/maps/search/45.438948,-75.656406",/ 4br - 3000ft,"$2,950",2020-08-04T23:05:28-0400,"c(""4BR / 2.5Ba"", ""3000ft2"", ""townhouse"", ""w/d in unit"", ""no smoking"", ""attached garage"")",(Ottawa),"Hot off the press. Gorgeous end unit upper level three bedroom + den townhouse with state-of-the-art, high design interior. Four full bedrooms (or 3 + Den), five appliances with space and light including all the bells and whistles. Be the first to enjoy this home - newly constructed with a clean slate for new occupants with an eye for good taste and quality. Well located with easy access to the city and its amenities. Available September 1st or earlier.  Please respond by text or WhatsApp to"
6,https://ottawa.craigslist.org/apa/d/gatineau-gorgeous-newly-renovated-2/7185831340.html,Rue Principale,NA,/ 2br - 800ft,"$1,200",2020-08-28T11:12:34-0400,"c(""2BR / 1Ba"", ""800ft2"", ""available oct 1"", ""cats are OK - purrr"", ""dogs are OK - wooof"", ""apartment"", ""laundry in bldg"", ""off-street parking"")",(Gatineau),"Centrally located, newly renovated 2-bedroom apartment in Aylmer

Gorgeous newly renovated apartment located 2-min. walk from the Aylmer Marina and 20-minute drive from downtown Ottawa. An ideal place to enjoy all that Aylmer has to offer. 

You will enjoy these amenities: 
- bus stop steps from your front door 
- near schools, parks, marina, and shopping 
- 100 km of bike trails a few minutes from your home 
- brand new fridge and stove
- new flooring in the living room (in progress)
- renovated kitchen and bathroom
- parking for 1 car 
- rent does not include heat or hydro
- water included in the rent 
- Coin-operated laundry room in the building for the exclusive use of the tenants. 
- Pets allowed: small dog or cat (15lbs.) 
- no smoking in the apartment

Rent: $1200 + hydro 
Available on October 1st, 2020 
Address: 2-38 Rue Principale Gatineau QC J9H 3L1

For more information or to book an appointment, please call at  
 ext. 102. 
---------------------------------------- 

Superbe appartement récemment rénové, situé à 2 minutes à pied de la marina d'Aylmer et à 20 minutes du centre-ville d'Ottawa. Un endroit idéal pour profiter de tout ce que Aylmer a pour vous. 

Vous y trouverez: 
- arrêt d'autobus très près de votre porte 
- Près d'écoles, de parcs, de la marina et du shopping 
- 100 km de sentiers de vélo à quelques minutes de votre maison 
- tout nouveau frigo et cuisinière 
- nouveau plancher dans le salon (en cours)
- cuisine et salle de bain rénovées 
- stationnement pour 1 voiture 
- pas chauffé ni éclairé 
- l’eau est incluse dans le loyer
- buanderie payante dans l'immeuble pour l'usage exclusif des locataires. 
- Animaux acceptes : petit chien ou chat (15 lbs.)
- Appartement non-fumeur

Loyer: $1200 + hydro 
Disponible le 1er octobre 2020
Adresse: 2-38 Rue Principale Gatineau QC J9H 3L1

Pour plus de renseignements ou pour une visite, svp appelez au  
 poste 102."
7,https://ottawa.craigslist.org/apa/d/ottawa-elegant-1-bed-1-bath-condo/7185926564.html,NA,NA,/ 1br - ,$750,2020-08-28T13:16:34-0400,"c(""1BR / 1Ba"", ""cats are OK - purrr"", ""dogs are OK - wooof"", ""furnished"", ""condo"", ""w/d in unit"")",(Ottawa),"1 bedroom + 1 bathroom condo in the heart of downtown Ottawa. This unit comes fully furnished and has open concept and features carpet through the living area as well as the bedroom, walkout balcony from the bedroom, 4 stainless steel appliances, washer and dryer inside unit and is close to all amenities: grocery stores, parks, schools and coffee shops. Building Type: Condo, Bedrooms: 1, Bathrooms: 1, Size: ~700 sqft
Appliances: Fridge, stove, microwave, dishwasher, washer, dryer, and all electrical light fixtures included.
Utilities:Hydro, Gas, Water & Waste included."
8,https://ottawa.craigslist.org/apa/d/hull-southwest-new-apartment-next-to/7185935692.html,22 Rue de L'Horizon near Boul Des Grives,NA,/ 2br - 735ft,"$1,540",2020-08-28T13:28:04-0400,"c(""2BR / 1Ba"", ""735ft2"", ""available sep 30"", ""apartment"", ""w/d in unit"", ""off-street parking"")",(Gatineau),"Beautiful one bedroom, one den apartment very close to both shopping and the Gatineau Park. One large master bedroom with a window and walk-in closet. One den that can be used as a bedroom, but has no window. Lovely, modern bathroom with both tub and shower and lots of storage space. Gas fireplace and air conditioning. Lifebreath System for air circulation and fire detection in all rooms. Open concept kitchen with island includes modern glass top stove, dishwasher and fridge/freezer. Stacked washer and dryer in the apartment itself. Storage closet in the entrance way with a hot water tank. Very large balcony (115 sq feet, making it 850 square feet of total living space) with a view of trees (morning sun). All new/modern. The building has a gym and a hot tub/BBQ area on the roof. Access to the larger gym, pool table and party room in the adjacent building as well. Storage locker and exterior parking included. Looking for someone to take over the last four years of our five year lease. We were the first tenants in this apartment, so it is in amazing condition."
9,https://ottawa.craigslist.org/apa/d/sandy-hill-2-bedrooms/7186028969.html,NA,NA,/ 2br - ,"$1,520",2020-08-28T15:29:45-0400,"c(""2BR / 1Ba"", ""apartment"", ""laundry in bldg"", ""no smoking"")",(Sandy Hill- Marlborough ave near Laurie st.),"Second floor, 2 bedrooms, separated living room, dining room, all hardwood floors, with deck on the back, laundry on the basement paid by owner, as well heat by gas furnace.
Quiet neighborhood.
Non smoker at all, no pets, bicycles outside building.
September  available and could be negotiated.
$1520.00 Plus hydro."
10,https://ottawa.craigslist.org/apa/d/nepean-2-storey-3bed-1bath-8m2/7168472503.html,NA,NA,/ 3br - 900ft,"$1,815",2020-07-30T08:28:51-0400,"c(""3BR / 1Ba"", ""900ft2"", ""available sep 1"", ""duplex"", ""w/d in unit"", ""detached garage"")",(Ottawa),"Clean and bright 2-storey 3-bedroom apartment in a 4-plex.

... Second floor (3 bedrooms and a bathroom)
... Main floor (large brand-new IKEA kitchen, an open-concept living/dining room, and laundry)
... Beautiful hardwood and ceramic flooring
... AC, 6 appliances (fridge, stove, dishwasher, hood fan, washer, and dryer)
... Big shed in the backyard

On the pictures is the future kitchen location and the living room with an IKEA kitchen in the boxes.

... 5-minute walk to the SmartCentres Ottawa (Laurentian Place) shopping center with a Walmart and many other stores
... 8-minute bus ride to the Algonquin College (bus #88)
... 23-minute bus ride to the Carleton University (17 min by bus #88 to the O-Train station, then 6 min on O-Train)

Monthly rent is $1,815 plus utilities. It is only $605 plus utilities per person.

Available for move-in: September 1st or later.

It must be seen to be truly appreciated! Please email to arrange an appointment."
11,https://ottawa.craigslist.org/apa/d/orleans-welcome-to-your-new-home/7184134927.html,6533 Richer Drive,"https://www.google.com/maps/search/45.467412,-75.528016",/ 2br - ,"$1,900",2020-08-25T14:25:28-0400,"c(""2BR / 1Ba"", ""available oct 1"", ""cats are OK - purrr"", ""dogs are OK - wooof"", ""apartment"", ""w/d in unit"", ""no smoking"", ""off-street parking"")",(Orleans),"Welcome to 6533 Richer Drive!

Welcome to Your New Home!

Stunning upper unit with 2 bedroom and 1 bathroom. 
What about location well, nestled in the great community of Chapel Hill, only a block and ½ away from St. Joseph Blvd. This apartment is located in a quiet neighbourhood in Orleans.Close to all amenities this place is ideal for a couple or a family. 

Specifications:
Included: Heat, Hydro, Water & Sewer and Furnace Rental
Included: Fridge, Stove, In-unit Washer/Dryer, Fireplace, Garage and Lawn Mower
Small Dogs or Cats allowed (15 lbs.)
Non-Smoking Unit 
Parking Available
Access to the yard (shared access)
Amenities
Restaurants: Pizza Hut and Tim Horton’s at 300 meters
Parks: Carriere Park at 100 meters
Shopping: St. Joseph Boulevard
Available: October 1st, 2020
Rent: $1900.00
Please feel free to give us a call at  
 ext 102
6533-A richer Drive, Ottawa K1C 4M7"
12,https://ottawa.craigslist.org/apa/d/ottawa-wonderful-st-ra-nd-breathtaking/7164967407.html,NA,NA,/ 2br - ,"$1,300",2020-07-24T07:31:39-0400,"c(""2BR / 2Ba"", ""apartment"")",(Ottawa),"The main living space is extremely large and flexible to accommodate a dining room, a living room and an office space! The spacious master bedroom offers double closets and its own ensuite"
